Helper,Subject,Topic,Category,Question,Cluttered,Decluttered,Focused
2Plant,2,Plant,INFORMATION,disliked info,0,0,0
2Plant,2,Plant,INFORMATION,no purpose,0,0,0
2Plant,2,Plant,INFORMATION,not enough info,0,0,0
2Plant,2,Plant,INFORMATION,too much info,0,0,0
2Plant,2,Plant,EMPHASIS,likes emphasis,0,0,0
2Plant,2,Plant,EMPHASIS,disliked emphasis,0,0,0
3Prison,3,Prison,COLOR,likes color,0,0,1
3Prison,3,Prison,COLOR,clear color,0,0,0
3Prison,3,Prison,COLOR,disliked color,0,0,0
3Prison,3,Prison,COLOR,not enough colors,0,0,0
3Prison,3,Prison,COLOR,too many colors,0,0,0
3Prison,3,Prison,AESTHETIC,likes aesthetic,0,1,1
3Prison,3,Prison,AESTHETIC,easy to read,0,1,0
3Prison,3,Prison,AESTHETIC,professional,1,0,0
3Prison,3,Prison,AESTHETIC,disliked aesthetic,1,0,0
3Prison,3,Prison,AESTHETIC,unprofessional,1,0,0
3Prison,3,Prison,AESTHETIC,cluttered,1,0,0
3Prison,3,Prison,AESTHETIC,boring,0,0,0
3Prison,3,Prison,INFORMATION,likes info,0,0,1
3Prison,3,Prison,INFORMATION,clear info,0,0,1
3Prison,3,Prison,INFORMATION,has purpose,0,0,1
3Prison,3,Prison,INFORMATION,disliked info,0,0,0
3Prison,3,Prison,INFORMATION,no purpose,0,0,0
3Prison,3,Prison,INFORMATION,not enough info,0,0,0
3Prison,3,Prison,INFORMATION,too much info,0,0,0
3Prison,3,Prison,EMPHASIS,likes emphasis,0,0,1
3Prison,3,Prison,EMPHASIS,disliked emphasis,0,0,0
3News,3,News,COLOR,likes color,1,0,1
3News,3,News,COLOR,clear color,0,0,0
3News,3,News,COLOR,disliked color,0,0,0
3News,3,News,COLOR,not enough colors,0,0,0
3News,3,News,COLOR,too many colors,0,0,0
3News,3,News,AESTHETIC,likes aesthetic,0,1,1
3News,3,News,AESTHETIC,easy to read,0,0,0
3News,3,News,AESTHETIC,professional,1,1,1
3News,3,News,AESTHETIC,disliked aesthetic,1,0,0
3News,3,News,AESTHETIC,unprofessional,1,0,0
3News,3,News,AESTHETIC,cluttered,0,0,0
3News,3,News,AESTHETIC,boring,0,0,0
3News,3,News,INFORMATION,likes info,0,0,0
3News,3,News,INFORMATION,clear info,0,0,0
3News,3,News,INFORMATION,has purpose,0,0,0
3News,3,News,INFORMATION,disliked info,0,0,0
3News,3,News,INFORMATION,no purpose,0,0,0
3News,3,News,INFORMATION,not enough info,0,0,0
3News,3,News,INFORMATION,too much info,0,0,0
3News,3,News,EMPHASIS,likes emphasis,0,0,1
3News,3,News,EMPHASIS,disliked emphasis,0,0,0
3Tires,3,Tires,COLOR,likes color,0,0,0
3Tires,3,Tires,COLOR,clear color,0,0,0
3Tires,3,Tires,COLOR,disliked color,0,0,0
3Tires,3,Tires,COLOR,not enough colors,0,0,0
3Tires,3,Tires,COLOR,too many colors,0,0,0
3Tires,3,Tires,AESTHETIC,likes aesthetic,1,0,0
3Tires,3,Tires,AESTHETIC,easy to read,1,0,0
3Tires,3,Tires,AESTHETIC,professional,0,0,0
3Tires,3,Tires,AESTHETIC,disliked aesthetic,0,0,1
3Tires,3,Tires,AESTHETIC,unprofessional,0,0,0
3Tires,3,Tires,AESTHETIC,cluttered,0,0,0
3Tires,3,Tires,AESTHETIC,boring,0,1,1
3Tires,3,Tires,INFORMATION,likes info,0,0,1
3Tires,3,Tires,INFORMATION,clear info,0,0,1
3Tires,3,Tires,INFORMATION,has purpose,0,0,1
3Tires,3,Tires,INFORMATION,disliked info,1,0,0
3Tires,3,Tires,INFORMATION,no purpose,1,0,0
3Tires,3,Tires,INFORMATION,not enough info,0,0,0
3Tires,3,Tires,INFORMATION,too much info,0,0,0
3Tires,3,Tires,EMPHASIS,likes emphasis,0,0,0
3Tires,3,Tires,EMPHASIS,disliked emphasis,0,0,0
3Holiday,3,Holiday,COLOR,likes color,1,0,1
3Holiday,3,Holiday,COLOR,clear color,0,0,0
3Holiday,3,Holiday,COLOR,disliked color,0,1,0
3Holiday,3,Holiday,COLOR,not enough colors,0,0,0
3Holiday,3,Holiday,COLOR,too many colors,0,0,0
3Holiday,3,Holiday,AESTHETIC,likes aesthetic,1,0,1
3Holiday,3,Holiday,AESTHETIC,easy to read,0,0,0
3Holiday,3,Holiday,AESTHETIC,professional,1,0,0
3Holiday,3,Holiday,AESTHETIC,disliked aesthetic,1,1,0
3Holiday,3,Holiday,AESTHETIC,unprofessional,1,0,0
3Holiday,3,Holiday,AESTHETIC,cluttered,0,0,0
3Holiday,3,Holiday,AESTHETIC,boring,0,1,0
3Holiday,3,Holiday,INFORMATION,likes info,1,1,1
3Holiday,3,Holiday,INFORMATION,clear info,1,1,1
3Holiday,3,Holiday,INFORMATION,has purpose,0,0,0
3Holiday,3,Holiday,INFORMATION,disliked info,0,0,0
3Holiday,3,Holiday,INFORMATION,no purpose,0,0,0
3Holiday,3,Holiday,INFORMATION,not enough info,0,0,0
3Holiday,3,Holiday,INFORMATION,too much info,0,0,0
3Holiday,3,Holiday,EMPHASIS,likes emphasis,0,0,0
3Holiday,3,Holiday,EMPHASIS,disliked emphasis,0,0,0
3Car,3,Car,COLOR,likes color,0,0,1
3Car,3,Car,COLOR,clear color,0,0,0
3Car,3,Car,COLOR,disliked color,0,0,0
3Car,3,Car,COLOR,not enough colors,0,0,0
3Car,3,Car,COLOR,too many colors,0,0,0
3Car,3,Car,AESTHETIC,likes aesthetic,0,1,1
3Car,3,Car,AESTHETIC,easy to read,0,1,0
3Car,3,Car,AESTHETIC,professional,0,1,0
3Car,3,Car,AESTHETIC,disliked aesthetic,1,0,0
